disease;department
panic disorder;Psychiatry
vocal cord polyp;Otolaryngology
turner syndrome;Endocrinology
cryptorchidism;Urology
poisoning due to ethylene glycol;Toxicology
atrophic vaginitis;Internal Medicine
fracture of the hand;Orthopedics
cellulitis or abscess of mouth;Internal Medicine
eye alignment disorder;Ophthalmology
headache after lumbar puncture;Internal Medicine
pyloric stenosis;Internal Medicine
salivary gland disorder;Internal Medicine
osteochondrosis;Internal Medicine
injury to the knee;Internal Medicine
metabolic disorder;Internal Medicine
vaginitis;Internal Medicine
sick sinus syndrome;Internal Medicine
tinnitus of unknown cause;Internal Medicine
glaucoma;Internal Medicine
eating disorder;Internal Medicine
transient ischemic attack;Internal Medicine
pyelonephritis;Internal Medicine
rotator cuff injury;Internal Medicine
chronic pain disorder;Internal Medicine
problem during pregnancy;Obstetrics and Gynecology
liver cancer;Oncology
atelectasis;Internal Medicine
injury to the hand;Internal Medicine
choledocholithiasis;Internal Medicine
injury to the hip;Internal Medicine
cirrhosis;Internal Medicine
thoracic aortic aneurysm;Internal Medicine
subdural hemorrhage;Internal Medicine
diabetic retinopathy;Internal Medicine
fibromyalgia;Internal Medicine
ischemia of the bowel;Internal Medicine
fetal alcohol syndrome;Internal Medicine
peritonitis;Internal Medicine
injury to the abdomen;Internal Medicine
acute pancreatitis;Internal Medicine
thrombophlebitis;Internal Medicine
asthma;Allergy and Immunology
foreign body in the vagina;Internal Medicine
restless leg syndrome;Internal Medicine
emphysema;Internal Medicine
cysticercosis;Internal Medicine
induced abortion;Internal Medicine
teething syndrome;Internal Medicine
infectious gastroenteritis;Internal Medicine
acute sinusitis;Internal Medicine
substance-related mental disorder;Psychiatry
postpartum depression;Internal Medicine
coronary atherosclerosis;Internal Medicine
spondylitis;Internal Medicine
pituitary adenoma;Internal Medicine
uterine fibroids;Internal Medicine
idiopathic nonmenstrual bleeding;Internal Medicine
chalazion;Internal Medicine
ovarian torsion;Internal Medicine
retinopathy due to high blood pressure;Internal Medicine
vaginal yeast infection;Infectious Diseases
mastoiditis;Internal Medicine
lung contusion;Pulmonology
hypertrophic obstructive cardiomyopathy (hocm);Cardiology
ingrown toe nail;Internal Medicine
pulmonary eosinophilia;Pulmonology
corneal disorder;Internal Medicine
foreign body in the gastrointestinal tract;Internal Medicine
endophthalmitis;Internal Medicine
intestinal malabsorption;Internal Medicine
viral warts;Internal Medicine
hyperhidrosis;Internal Medicine
stroke;Internal Medicine
pilonidal cyst;Internal Medicine
crushing injury;Internal Medicine
normal pressure hydrocephalus;Internal Medicine
alopecia;Internal Medicine
hashimoto thyroiditis;Otolaryngology
flat feet;Internal Medicine
nonalcoholic liver disease (nash);Hepatology
hemarthrosis;Internal Medicine
pelvic organ prolapse;Internal Medicine
fracture of the arm;Orthopedics
coagulation (bleeding) disorder;Internal Medicine
intracranial hemorrhage;Internal Medicine
hyperkalemia;Internal Medicine
cornea infection;Infectious Diseases
abscess of the lung;Pulmonology
dengue fever;Internal Medicine
chronic sinusitis;Internal Medicine
cholesteatoma;Internal Medicine
volvulus;Internal Medicine
injury to the finger;Internal Medicine
poisoning due to analgesics;Internal Medicine
atrial fibrillation;Internal Medicine
